FIPS,State,State abr.,County,Metro_93,metro_00,Employed2000N,Creative2000N,Arts2000N,Creative2000S,Bohemian2000S,Employed1990N,Creative1990N,Arts1990N,Creative1990S,Arts1990S
1001,Alabama,AL,Autauga County,1,1,19595,3945,66,0.2013,0.0034,16310,2762,54,0.1694,0.0033
1003,Alabama,AL,Baldwin County,1,0,62938,14853,596,0.236,0.0095,45480,8939,472,0.1966,0.0104
1005,Alabama,AL,Barbour County,0,0,10193,1501,41,0.1473,0.004,11151,1367,38,0.1226,0.0034
1007,Alabama,AL,Bibb County,0,1,7967,1139,24,0.143,0.003,7189,608,29,0.0846,0.004
1009,Alabama,AL,Blount County,1,1,22701,3665,120,0.1614,0.0053,18502,2347,137,0.1269,0.0074
1011,Alabama,AL,Bullock County,0,0,3441,279,10,0.0811,0.0029,4084,500,27,0.1223,0.0066
1013,Alabama,AL,Butler County,0,0,8006,983,33,0.1228,0.0041,8775,991,52,0.113,0.0059
1015,Alabama,AL,Calhoun County,1,1,47856,8642,305,0.1806,0.0064,51249,7221,333,0.1409,0.0065
1017,Alabama,AL,Chambers County,0,0,15695,1898,80,0.1209,0.0051,17576,1809,75,0.103,0.0043
1019,Alabama,AL,Cherokee County,0,0,10180,1153,56,0.1133,0.0055,9135,1002,32,0.1097,0.0035
1021,Alabama,AL,Chilton County,0,1,17437,2679,109,0.1536,0.0063,14514,1814,81,0.125,0.0056
1023,Alabama,AL,Choctaw County,0,0,5469,637,29,0.1165,0.0053,6383,649,20,0.1016,0.0031
1025,Alabama,AL,Clarke County,0,0,10343,1508,84,0.1458,0.0081,11165,1433,32,0.1283,0.0029
1027,Alabama,AL,Clay County,0,0,5930,691,20,0.1165,0.0034,6083,534,13,0.0878,0.0021
1029,Alabama,AL,Cleburne County,0,0,6188,872,34,0.1409,0.0055,6074,619,32,0.1019,0.0053
1031,Alabama,AL,Coffee County,0,0,17905,3296,118,0.1841,0.0066,18075,2558,124,0.1415,0.0069
1033,Alabama,AL,Colbert County,1,1,23093,3622,136,0.1568,0.0059,23757,3345,146,0.1408,0.0061
1035,Alabama,AL,Conecuh County,0,0,4863,647,28,0.133,0.0058,5785,515,42,0.089,0.0073
1037,Alabama,AL,Coosa County,0,0,4841,589,23,0.1217,0.0048,4869,530,4,0.1088,0.0008
1039,Alabama,AL,Covington County,0,0,15304,2605,32,0.1702,0.0021,16246,2078,58,0.1279,0.0036
1041,Alabama,AL,Crenshaw County,0,0,5463,701,13,0.1283,0.0024,6017,649,2,0.1079,0.0003
1043,Alabama,AL,Cullman County,0,0,35092,5648,191,0.1609,0.0054,31782,4326,165,0.1361,0.0052
1045,Alabama,AL,Dale County,1,0,18803,2908,131,0.1547,0.007,20404,2707,115,0.1326,0.0056
