FIPS,State,State abr.,County,"metro 1993 definition (1=metro, 0=nonmetro)","metro 2003 definition (1=metro, 0=nonmetro)",Employed2000N,Creative2000N,Arts2000N,Creative2000S,Bohemian2000S,Employed1990N,Creative1990N,Arts1990N,Creative1990S,Arts1990S,,,,,
1001,Alabama,AL,Autauga County,1,1,19595,3945,66,.2013,.0034,16310,2762,54,.1694,.0033,,,,,
1003,Alabama,AL,Baldwin County,1,0,62938,14853,596,.2360,.0095,45480,8939,472,.1966,.0104,,,,,
1005,Alabama,AL,Barbour County,0,0,10193,1501,41,.1473,.0040,11151,1367,38,.1226,.0034,,,,,
1007,Alabama,AL,Bibb County,0,1,7967,1139,24,.1430,.0030,7189,608,29,.0846,.0040,,,,,
1009,Alabama,AL,Blount County,1,1,22701,3665,120,.1614,.0053,18502,2347,137,.1269,.0074,,,,,
1011,Alabama,AL,Bullock County,0,0,3441,279,10,.0811,.0029,4084,500,27,.1223,.0066,,,,,
1013,Alabama,AL,Butler County,0,0,8006,983,33,.1228,.0041,8775,991,52,.1130,.0059,,,,,
1015,Alabama,AL,Calhoun County,1,1,47856,8642,305,.1806,.0064,51249,7221,333,.1409,.0065,,,,,
1017,Alabama,AL,Chambers County,0,0,15695,1898,80,.1209,.0051,17576,1809,75,.1030,.0043,,,,,
1019,Alabama,AL,Cherokee County,0,0,10180,1153,56,.1133,.0055,9135,1002,32,.1097,.0035,,,,,
1021,Alabama,AL,Chilton County,0,1,17437,2679,109,.1536,.0063,14514,1814,81,.1250,.0056,,,,,
1023,Alabama,AL,Choctaw County,0,0,5469,637,29,.1165,.0053,6383,649,20,.1016,.0031,,,,,
1025,Alabama,AL,Clarke County,0,0,10343,1508,84,.1458,.0081,11165,1433,32,.1283,.0029,,,,,
1027,Alabama,AL,Clay County,0,0,5930,691,20,.1165,.0034,6083,534,13,.0878,.0021,,,,,
1029,Alabama,AL,Cleburne County,0,0,6188,872,34,.1409,.0055,6074,619,32,.1019,.0053,,,,,
1031,Alabama,AL,Coffee County,0,0,17905,3296,118,.1841,.0066,18075,2558,124,.1415,.0069,,,,,
1033,Alabama,AL,Colbert County,1,1,23093,3622,136,.1568,.0059,23757,3345,146,.1408,.0061,,,,,
1035,Alabama,AL,Conecuh County,0,0,4863,647,28,.1330,.0058,5785,515,42,.0890,.0073,,,,,
1037,Alabama,AL,Coosa County,0,0,4841,589,23,.1217,.0048,4869,530,4,.1088,.0008,,,,,
1039,Alabama,AL,Covington County,0,0,15304,2605,32,.1702,.0021,16246,2078,58,.1279,.0036,,,,,
1041,Alabama,AL,Crenshaw County,0,0,5463,701,13,.1283,.0024,6017,649,2,.1079,.0003,,,,,
1043,Alabama,AL,Cullman County,0,0,35092,5648,191,.1609,.0054,31782,4326,165,.1361,.0052,,,,,
1045,Alabama,AL,Dale County,1,0,18803,2908,131,.1547,.0070,20404,2707,115,.1326,.0056,,,,,
1047,Alabama,AL,Dallas County,0,0,15391,2178,73,.1415,.0047,18760,2605,132,.1389,.0070,,,,,
1049,Alabama,AL,DeKalb County,0,0,29280,3633,157,.1241,.0054,26085,2517,71,.0965,.0027,,,,,
1051,Alabama,AL,Elmore County,1,1,27970,5836,172,.2087,.0061,21786,3952,201,.1814,.0092,,,,,
1053,Alabama,AL,Escambia County,0,0,14598,1918,37,.1314,.0025,14902,1653,58,.1109,.0039,,,,,
1055,Alabama,AL,Etowah County,1,1,43426,6782,190,.1562,.0044,44094,6187,249,.1403,.0056,,,,,
1057,Alabama,AL,Fayette County,0,0,7391,890,40,.1204,.0054,8150,799,13,.0980,.0016,,,,,
1059,Alabama,AL,Franklin County,0,0,13089,1590,103,.1215,.0079,12394,1328,98,.1072,.0079,,,,,
1061,Alabama,AL,Geneva County,0,1,10809,1464,34,.1354,.0031,10895,1107,23,.1016,.0021,,,,,
1063,Alabama,AL,Greene County,0,1,3109,297,5,.0955,.0016,3627,372,28,.1026,.0077,,,,,
1065,Alabama,AL,Hale County,0,1,5842,637,17,.1090,.0029,5846,550,22,.0940,.0038,,,,,
1067,Alabama,AL,Henry County,0,1,6780,1074,56,.1584,.0083,6877,791,44,.1151,.0064,,,,,
1069,Alabama,AL,Houston County,1,1,40355,8494,297,.2105,.0074,40015,7099,287,.1774,.0072,,,,,
1071,Alabama,AL,Jackson County,0,0,24982,3390,110,.1357,.0044,22897,2442,139,.1066,.0061,,,,,
1073,Alabama,AL,Jefferson County,1,1,297123,73533,3082,.2475,.0104,310170,63605,3339,.2051,.0108,,,,,
1075,Alabama,AL,Lamar County,0,0,6547,835,22,.1275,.0034,7403,537,16,.0726,.0022,,,,,
1077,Alabama,AL,Lauderdale County,1,1,38923,7461,294,.1917,.0076,36837,6014,323,.1633,.0088,,,,,
1079,Alabama,AL,Lawrence County,1,1,14784,1840,62,.1245,.0042,14627,1366,62,.0934,.0042,,,,,
1081,Alabama,AL,Lee County,0,1,52980,13366,604,.2523,.0114,42916,9070,389,.2114,.0091,,,,,
1083,Alabama,AL,Limestone County,1,1,29709,5783,141,.1947,.0047,26023,4431,132,.1703,.0051,,,,,
1085,Alabama,AL,Lowndes County,0,1,4443,551,11,.1240,.0025,4758,396,6,.0832,.0013,,,,,
1087,Alabama,AL,Macon County,0,0,8133,1177,61,.1447,.0075,9945,1274,124,.1281,.0125,,,,,
1089,Alabama,AL,Madison County,1,1,134916,45564,1386,.3377,.0103,126591,39191,1267,.3096,.0100,,,,,
1091,Alabama,AL,Marengo County,0,0,8031,990,21,.1233,.0026,9496,1142,55,.1203,.0058,,,,,
1093,Alabama,AL,Marion County,0,0,12868,1823,44,.1417,.0034,13515,1279,44,.0946,.0033,,,,,
1095,Alabama,AL,Marshall County,0,0,36609,7124,230,.1946,.0063,33944,5077,203,.1496,.0060,,,,,
1097,Alabama,AL,Mobile County,1,1,164654,34284,1646,.2082,.0100,170321,30649,1624,.1799,.0095,,,,,
1099,Alabama,AL,Monroe County,0,0,9155,1320,30,.1442,.0033,10320,1019,62,.0987,.0060,,,,,
1101,Alabama,AL,Montgomery County,1,1,95811,24682,924,.2576,.0096,99536,21486,990,.2159,.0099,,,,,
1103,Alabama,AL,Morgan County,1,1,50604,10282,327,.2032,.0065,48935,9462,378,.1934,.0077,,,,,
1105,Alabama,AL,Perry County,0,0,3480,424,12,.1218,.0034,4599,500,27,.1086,.0059,,,,,
1107,Alabama,AL,Pickens County,0,0,7644,970,20,.1269,.0026,8369,770,36,.0920,.0043,,,,,
1109,Alabama,AL,Pike County,0,0,12684,2203,99,.1737,.0078,12475,1827,121,.1465,.0097,,,,,
